Title,Creator,Publication,Date,DOI,Citations,Abstract
"Oxidative phosphorylation-an update on a new, essential target space for drug discovery in Mycobacterium tuberculosis",Foo C.S.Y.,Applied Sciences Switzerland,2020-04-01,10.3390/app10072339,45,"New drugs with new mechanisms of action are urgently required to tackle the global tuberculosis epidemic. Following the FDA-approval of the ATP synthase inhibitor bedaquiline (Sirturo®), energy metabolism has become the subject of intense focus as a novel pathway to exploit for tuberculosis drug development. This enthusiasm stems from the fact that oxidative phosphorylation (OxPhos) and the maintenance of the transmembrane electrochemical gradient are essential for the viability of replicating and non-replicating Mycobacterium tuberculosis (M. tb), the etiological agent of human tuberculosis (TB). Therefore, new drugs targeting this pathway have the potential to shorten TB treatment, which is one of the major goals of TB drug discovery. This review summarises the latest and key findings regarding the OxPhos pathway in M. tb and provides an overview of the inhibitors targeting various components. We also discuss the potential of new regimens containing these inhibitors, the flexibility of this pathway and, consequently, the complexity in targeting it. Lastly, we discuss opportunities and future directions of this drug target space."
Dual targeting approach for Mycobacterium tuberculosis drug discovery: insights from DFT calculations and molecular dynamics simulations,Ejalonibu M.A.,Structural Chemistry,2020-04-01,10.1007/s11224-019-01422-w,21,Sin abstract en OpenAlex
Identification of Mycobacterium tuberculosis CtpF as a target for designing new antituberculous compounds,Santos P.,Bioorganic and Medicinal Chemistry,2020-02-01,10.1016/j.bmc.2019.115256,10,Sin abstract en OpenAlex
"Comparative proteome analysis of mycobacterium tuberculosis strains-H37Ra, H37Rv, CCDC5180, and CAS/NITR204: A step forward to identify novel drug targets",Gupta S.R.R.,Letters in Drug Design and Discovery,2020-01-01,10.2174/1570180817999200531165148,6,Sin abstract en OpenAlex
Drug Discovery Platform Targeting M. tuberculosis with Human Embryonic Stem Cell-Derived Macrophages,Han H.W.,Stem Cell Reports,2019-12-10,10.1016/j.stemcr.2019.10.002,38,"A major limitation in anti-tuberculosis drug screening is the lack of reliable and scalable models for homogeneous human primary macrophage cells of non-cancer origin. Here we report a modified protocol for generating homogeneous populations of macrophage-like cells from human embryonic stem cells. The induced macrophages, referred to as iMACs, presented similar transcriptomic profiles and characteristic immunological features of classical macrophages and were permissive to viral and bacterial infection, in particular Mycobacterium tuberculosis (Mtb). More importantly, iMAC production was amenable to scale up. To evaluate iMAC efficiency in high-throughput anti-tuberculosis drug screening, we performed a phenotypic screening against intracellular Mtb, involving a library of 3,716 compounds that included FDA-approved drugs and other bioactive compounds. Our primary screen identified 120 hits, which were validated in a secondary screen by dose-intracellular and -extracellular Mtb assays. Our confirmatory studies identified a novel anti-Mtb compound, 10-DEBC, also showing activity against drug-resistant strains."
Accurate target identification for Mycobacterium tuberculosis endoribonuclease toxins requires expression in their native host,Cintrón M.,Scientific Reports,2019-12-01,10.1038/s41598-019-41548-9,28,"Abstract The Mycobacterium tuberculosis genome harbors an unusually high number of toxin-antitoxin (TA) systems. These TA systems have been implicated in establishing the nonreplicating persistent state of this pathogen during latent tuberculosis infection. More than half of the M. tuberculosis TA systems belong to the VapBC ( v irulence a ssociated p rotein) family. In this work, we first identified the RNA targets for the M. tuberculosis VapC-mt11 (VapC11, Rv1561) toxin in vitro to learn more about the general function of this family of toxins. Recombinant VapC-mt11 cleaved 15 of the 45 M. tuberculosis tRNAs at a single site within their anticodon stem loop (ASL) to generate tRNA halves. Cleavage was dependent on the presence of a GG consensus sequence immediately before the cut site and a structurally intact ASL. However, in striking contrast to the broad enzyme activity exhibited in vitro , we used a specialized RNA-seq method to demonstrate that tRNA cleavage was highly specific in vivo . Expression of VapC-mt11 in M. tuberculosis resulted in cleavage of only two tRNA isoacceptors containing the GG consensus sequence, tRNA Gln32-CUG and tRNA Leu3-CAG . Therefore, our results indicate that although in vitro studies are useful for identification of the class of RNA cleaved and consensus sequences required for accurate substrate recognition by endoribonuclease toxins, definitive RNA target identification requires toxin expression in their native host. The restricted in vivo specificity of VapC-mt11 suggests that it may be enlisted to surgically manipulate pathogen physiology in response to stress."
Identification of glucosyl-3-phosphoglycerate phosphatase as a novel drug target against resistant strain of Mycobacterium tuberculosis (XDR1219) by using comparative metabolic pathway approach,Uddin R.,Computational Biology and Chemistry,2019-04-01,10.1016/j.compbiolchem.2019.01.011,12,Sin abstract en OpenAlex
Identification and validation of l-asparaginase as a potential metabolic target against Mycobacterium tuberculosis,Kataria A.,Journal of Cellular Biochemistry,2019-01-01,10.1002/jcb.27169,15,"Abstract Multidrug‐resistant Mycobacterium tuberculosis (Mtb) has emerged as a major health challenge, necessitating the search for new molecular targets. A secretory amidohydrolase, l ‐asparaginase of Mtb (MtA), originally implicated in nitrogen assimilation and neutralization of acidic microenvironment inside human alveolar macrophages, has been proposed as a crucial metabolic enzyme. To investigate whether this enzyme could serve as a potential drug target, it was studied for structural details and active site–specific inhibitors were tested on cultured Mycobacterial strain. The structural details of MtA obtained through comparative modeling and molecular dynamics simulations provided insights about the orchestration of an alternate reaction mechanism at the active site. This was contrary to the critical Tyr flipping mechanism reported in other asparaginases. We report the novel finding of Tyr to Val replacement in catalytic triad I along with the structural reorganization of a β‐hairpin loop upon substrate binding in MtA active site. Further, 5 MtA‐specific, active‐site–based inhibitors were obtained by following a rigorous differential screening protocol. When tested on Mycobacterium culture, 3 of these, M3 (ZINC 4740895), M26 (ZINC 33535), and doxorubicin showed promising results with inhibitory concentrations (IC 50 ) of 431, 100, and 56 µM, respectively. Based on our findings and considering stark differences with human asparaginase, we project MtA as a promising molecular target against which the selected inhibitors may be used to counteract Mtb infection effectively."
Identification of enolase as the target of 2-aminothiazoles in Mycobacterium Tuberculosis,Wescott H.H.,Frontiers in Microbiology,2018-10-26,10.3389/fmicb.2018.02542,12,"Tuberculosis is a massive global disease burden and is increasingly resistant to first- and second-line drugs. There is an acute need for new anti-mycobacterial drugs with novel targets. We previously evaluated a series of 2-aminothiazoles with good activity against Mycobacterium tuberculosis. In this study, we identify the glycolytic enzyme enolase as the target of these molecules using pull down studies. We demonstrate that modulation of the level of enolase expression affects sensitivity to 2-aminothiazoles; increased expression leads to resistance while decreased protein levels increase sensitivity. Exposure to 2-aminothiazoles results in increased levels of metabolites preceding the action of enolase in the glycolytic pathway and decreased ATP levels. We demonstrate that 2-aminothiazoles inhibit the activity of the human α-enolase, which could also account for the cytotoxicity of some of those molecules. If selectivity could be achieved, it would represent an attractive target for M. tuberculosis drug discovery and development efforts."
Recent advances for identification of new scaffolds and drug targets for Mycobacterium tuberculosis,Dhiman R.,IUBMB Life,2018-09-01,10.1002/iub.1863,25,"Tuberculosis (TB) is a leading cause of mortality and morbidity with an estimated 1.7 billion people latently infected with the pathogen worldwide. Clinically, TB infection presents itself as an asymptomatic infection, which gradually manifests to life threatening disease. The emergence of various drug resistant strains of Mycobacterium tuberculosis and lengthy duration of chemotherapy are major challenges in the field of TB drug development. Hence, there is an urgent need to develop scaffolds that possess a novel mechanism of action, can shorten the duration of therapy, and are active against both drug resistant and susceptible strains. In this review, we will discuss recent progress made in the field of TB drug development with emphasis on screening methods and drug targets from M. tuberculosis. The current review provides insights into mechanism of action of new scaffolds that are being evaluated in various stages of clinical trials. © 2018 IUBMB Life, 70(9):905-916, 2018."
Adjuvant therapies against tuberculosis: Discovery of a 2-aminothiazole targeting Mycobacterium tuberculosis energetics,Machado D.,Future Microbiology,2018-09-01,10.2217/fmb-2018-0110,10,"AIM: To evaluate the activity of the 2-aminothiazole UPAR-174 following an unexplored approach: targeting Mycobacterium tuberculosis with lipophilic compounds that present antituberculosis and efflux inhibitory activity. METHODS: Antituberculosis activity was assessed against replicating, nonreplicating and intracellular bacilli. Its capacity to inhibit active efflux was determined. ATP quantification and membrane potential analysis were performed. Intracellular activity was studied on human-monocyte-derived macrophages. RESULTS: UPAR-174 is an efflux inhibitor active against replicating, nonreplicating and intracellular M. tuberculosis. It dissipates the membrane potential and causes ATP depletion. CONCLUSION: Targeting M. tuberculosis with lipophilic efflux inhibitors, exploring their dual activity - dissipation of the proton motive force and efflux inhibition - represents an attractive strategy to fight against drug-resistant tuberculosis."
"Identification of Morpholino Thiophenes as Novel Mycobacterium tuberculosis Inhibitors, Targeting QcrB",Cleghorn L.A.T.,Journal of Medicinal Chemistry,2018-08-09,10.1021/acs.jmedchem.8b00172,52,"With the emergence of multidrug-resistant strains of Mycobacterium tuberculosis there is a pressing need for new oral drugs with novel mechanisms of action. Herein, we describe the identification of a novel morpholino-thiophenes (MOT) series following phenotypic screening of the Eli Lilly corporate library against M. tuberculosis strain H37Rv. The design, synthesis, and structure-activity relationships of a range of analogues around the confirmed actives are described. Optimized leads with potent whole cell activity against H37Rv, no cytotoxicity flags, and in vivo efficacy in an acute murine model of infection are described. Mode-of-action studies suggest that the novel scaffold targets QcrB, a subunit of the menaquinol cytochrome c oxidoreductase, part of the bc1-aa3-type cytochrome c oxidase complex that is responsible for driving oxygen-dependent respiration."
Identification of Missing Carbon Fixation Enzymes as Potential Drug Targets in Mycobacterium Tuberculosis,Katiyar A.,Journal of Integrative Bioinformatics,2018-07-03,10.1515/jib-2017-0041,6,"Metabolic adaptation to the host environment has been recognized as an essential mechanism of pathogenicity and the growth of Mycobacterium tuberculosis (Mtb) in the lungs for decades. The Mtb uses CO2 as a source of carbon during the dormant or non-replicative state. However, there is a lack of biochemical knowledge of its metabolic networks. In this study, we investigated the CO2 fixation pathways (such as ko00710 and ko00720) most likely involved in the energy production and conversion of CO2 in Mtb. Extensive pathway evaluation of 23 completely sequenced strains of Mtb confirmed the existence of a complete list of genes encoding the relevant enzymes of the reductive tricarboxylic acid (rTCA) cycle. This provides the evidence that an rTCA cycle may function to fix CO2 in this bacterium. We also proposed that as CO2 is plentiful in the lungs, inhibition of CO2 fixation pathways (by targeting the relevant CO2 fixation enzymes) could be used in the expansion of new drugs against the dormant Mtb. In support of the suggested hypothesis, the CO2 fixation enzymes were confirmed as a potential drug target by analyzing a number of attributes necessary to be a good bacterial target."
Drug discovery in tuberculosis. New drug targets and antimycobacterial agents,Campaniço A.,European Journal of Medicinal Chemistry,2018-04-25,10.1016/j.ejmech.2018.03.020,133,Sin abstract en OpenAlex
Identification and characterization of potential druggable targets among hypothetical proteins of extensively drug resistant Mycobacterium tuberculosis (XDR KZN 605) through subtractive genomics approach,Uddin R.,European Journal of Pharmaceutical Sciences,2018-03-01,10.1016/j.ejps.2017.11.014,32,Sin abstract en OpenAlex
Structure based drug discovery for designing leads for the non-toxic metabolic targets in multi drug resistant Mycobacterium tuberculosis,Kaur D.,Journal of Translational Medicine,2017-12-21,10.1186/s12967-017-1363-9,14,"BACKGROUND: The problem of drug resistance and bacterial persistence in tuberculosis is a cause of global alarm. Although, the UN's Sustainable Development Goals for 2030 has targeted a Tb free world, the treatment gap exists and only a few new drug candidates are in the pipeline. In spite of large information from medicinal chemistry to 'omics' data, there has been a little effort from pharmaceutical companies to generate pipelines for the development of novel drug candidates against the multi drug resistant Mycobacterium tuberculosis. METHODS: In the present study, we describe an integrated methodology; utilizing systems level information to optimize ligand selection to lower the failure rates at the pre-clinical and clinical levels. In the present study, metabolic targets (Rv2763c, Rv3247c, Rv1094, Rv3607c, Rv3048c, Rv2965c, Rv2361c, Rv0865, Rv0321, Rv0098, Rv0390, Rv3588c, Rv2244, Rv2465c and Rv2607) in M. tuberculosis, identified using our previous Systems Biology and data-intensive genome level analysis, have been used to design potential lead molecules, which are likely to be non-toxic. Various in silico drug discovery tools have been utilized to generate small molecular leads for each of the 15 targets with available crystal structures. RESULTS: The present study resulted in identification of 20 novel lead molecules including 4 FDA approved drugs (droxidropa, tetroxoprim, domperidone and nemonapride) which can be further taken for drug repurposing. This comprehensive integrated methodology, with both experimental and in silico approaches, has the potential to not only tackle the MDR form of Mtb but also the most important persister population of the bacterium, with a potential to reduce the failures in the Tb drug discovery. CONCLUSION: We propose an integrated approach of systems and structural biology for identifying targets that address the high attrition rate issue in lead identification and drug development We expect that this system level analysis will be applicable for identification of drug candidates to other pathogenic organisms as well."
"Target identification of Mycobacterium tuberculosis phenotypic hits using a concerted chemogenomic, biophysical, and structural approach",Mugumbate G.,Frontiers in Pharmacology,2017-09-26,10.3389/fphar.2017.00681,24,"Mycobacterium phenotypic hits are a good reservoir for new chemotypes for the treatment of tuberculosis. However, the absence of defined molecular targets and modes of action could lead to failure in drug development. Therefore, a combination of ligand-based and structure-based chemogenomic approaches followed by biophysical and biochemical validation have been used to identify targets for Mycobacterium tuberculosis phenotypic hits. Our approach identified EthR and InhA as targets for several hits, with some showing dual activity against these proteins. From the 35 predicted EthR inhibitors, eight exhibited an IC50 below 50 µM against M. tuberculosis EthR and three were confirmed to be also simultaneously active against InhA. Further hit validation was performed using X-ray crystallography yielding eight new crystal structures of EthR inhibitors. Although the EthR inhibitors attain their activity against M. tuberculosis by hitting yet undefined targets, these results provide new lead compounds that could be further developed to be used to potentiate the effect of EthA activated pro-drugs, such as ethionamide, thus enhancing their bactericidal effect."
Insights into Integrated Lead Generation and Target Identification in Malaria and Tuberculosis Drug Discovery,Okombo J.,Accounts of Chemical Research,2017-07-18,10.1021/acs.accounts.6b00631,29,"New, safe and effective drugs are urgently needed to treat and control malaria and tuberculosis, which affect millions of people annually. However, financial return on investment in the poor settings where these diseases are mostly prevalent is very minimal to support market-driven drug discovery and development. Moreover, the imminent loss of therapeutic lifespan of existing therapies due to evolution and spread of drug resistance further compounds the urgency to identify novel effective drugs. However, the advent of new public-private partnerships focused on tropical diseases and the recent release of large data sets by pharmaceutical companies on antimalarial and antituberculosis compounds derived from phenotypic whole cell high throughput screening have spurred renewed interest and opened new frontiers in malaria and tuberculosis drug discovery. This Account recaps the existing challenges facing antimalarial and antituberculosis drug discovery, including limitations associated with experimental animal models as well as biological complexities intrinsic to the causative pathogens. We enlist various highlights from a body of work within our research group aimed at identifying and characterizing new chemical leads, and navigating these challenges to contribute toward the global drug discovery and development pipeline in malaria and tuberculosis. We describe a catalogue of in-house efforts toward deriving safe and efficacious preclinical drug development candidates via cell-based medicinal chemistry optimization of phenotypic whole-cell medium and high throughput screening hits sourced from various small molecule chemical libraries. We also provide an appraisal of target-based screening, as invoked in our laboratory for mechanistic evaluation of the hits generated, with particular focus on the enzymes within the de novo pyrimidine biosynthetic and hemoglobin degradation pathways, the latter constituting a heme detoxification process and an associated cysteine protease-mediated hydrolysis of hemoglobin. We further expound on the recombinant enzyme assays, heme fractionation experiments, and genomic and chemoproteomic methods that we employed to identify Plasmodium falciparum falcipain 2 (PfFP2), hemozoin formation, phosphatidylinositol 4-kinase (PfPI4K) and Mycobacterium tuberculosis cytochrome bc1 complex as the targets of the antimalarial chalcones, pyrido[1,2-a]benzimidazoles, aminopyridines, and antimycobacterial pyrrolo[3,4-c]pyridine-1,3(2H)-diones, respectively. In conclusion, we argue for the expansion of chemical space through exploitation of privileged natural product scaffolds and diversity-oriented synthesis, as well as the broadening of druggable spaces by exploiting available protein crystal structures, -omics data, and bioinformatics infrastructure to explore hitherto untargeted spaces like lipid metabolism and protein kinases in P. falciparum. Finally, we audit the merits of both target-based and whole-cell phenotypic screening in steering antimalarial and antituberculosis chemical matter toward populating drug discovery pipelines with new lead molecules."
Identification of antibody targets for tuberculosis serology using High-Density Nucleic Acid Programmable Protein Arrays,Song L.,Molecular and Cellular Proteomics,2017-04-01,10.1074/mcp.M116.065953,49,"= 41). We identified 8 proteins with TB biomarker value; four (Rv0054, Rv0831c, Rv2031c and Rv0222) of these were previously identified in serology studies, and four (Rv0948c, Rv2853, Rv3405c, Rv3544c) were not known to elicit antibody responses. Using ELISA data, we created classifiers that could discriminate patients' TB status according to geography (US or SA) and HIV (HIV- or HIV+) status. With ROC curve analysis under cross validation, the classifiers performed with an AUC for US/HIV- at 0.807; US/HIV+ at 0.782; SA/HIV- at 0.868; and SA/HIV+ at 0.723. With this study we demonstrate a new platform for biomarker/antibody screening and delineate its utility to identify previously unknown immunoreactive proteins."
Identification and validation of novel drug targets in Mycobacterium tuberculosis,Singh V.,Drug Discovery Today,2017-03-01,10.1016/j.drudis.2016.09.010,67,Sin abstract en OpenAlex
Structural analysis of protein translocase subunit SecY from Mycobacterium tuberculosis H37Rv: A potential target for anti-tuberculosis drug discovery,Sitote T.M.,International Journal of Computational Biology and Drug Design,2017-01-01,10.1504/IJCBDD.2017.088137,2,"Identification of noble drug targets is a very important step in the development of anti-mycobacterial drugs to counter the problem of drug resistance. The availability of structural information of a specified drug target is one of the druggablity criteria. However, many proteins do not have experimentally solved structure in spite of the efforts of structural genomics projects. In this study, structural analysis on a selected potential drug target of Mycobacterium tuberculosis H37Rv has been carried out. Protein translocase subunit SecY (Rv0732) has been selected since it is a highly ranked potential drug target without solved three-dimensional structure. In silico structural analysis has been carried out to get descriptive three-dimensional structure. The models were generated using crystal structure of Secye Translocon from Thermus thermophilus with a fab fragment (2ZJS_Y) as a template. The active site has been identified for protein-inhibitor binding."
Identification of inhibitors targeting: Mycobacterium tuberculosis cell wall biosynthesis via dynamic combinatorial chemistry,Fu J.,Chemical Communications,2017-01-01,10.1039/c7cc05251k,28,"In this study, we report a dynamic combinatorial approach along with highly efficient in situ screening to identify inhibitors of UDP-galactopyranose mutase (UGM), an essential enzyme involved in mycobacterial cell wall biosynthesis. These two technologies converged to the identification of a new UGM inhibitor chemotype. Importantly, the best molecule not only displayed high affinity for the target enzyme but also exhibited in vitro growth inhibition against whole Mycobacterium tuberculosis cells. The strategy described here provides an avenue to explore a novel inhibitor class for UGMs and paves the way for further pharmacological studies on tuberculosis treatment."
"Data Intensive Genome Level Analysis from Identifying Novel, Non-Toxic Drug Targets from Multi Drug Resistant Mycobacterium tuberculosis",Kaur D.,Scientific Reports,2017-01-01,10.1038/srep46595,11,"We report the construction of a novel Systems Biology based virtual drug discovery model for the prediction of non-toxic metabolic targets in Mycobacterium tuberculosis (Mtb). This is based on a data-intensive genome level analysis and the principle of conservation of the evolutionarily important genes. In the 1623 sequenced Mtb strains, 890 metabolic genes identified through a systems approach in Mtb were evaluated for non-synonymous mutations. The 33 genes showed none or one variation in the entire 1623 strains, including 1084 Russian MDR strains. These invariant targets were further evaluated for their experimental and in silico essentiality as well as availability of their crystal structure in Protein Data Bank (PDB). Along with this, targets for the common existing antibiotics and the new Tb drug candidates were also screened for their variation across 1623 strains of Mtb for understanding the drug resistance. We propose that the reduced set of these reported targets could be a more effective starting point for medicinal chemists in generating new chemical leads. This approach has the potential of fueling the dried up Tuberculosis (Tb) drug discovery pipeline."
Novel inhibitors of Mycobacterium tuberculosis GuaB2 identified by a target based high-throughput phenotypic screen,Cox J.A.G.,Scientific Reports,2016-12-16,10.1038/srep38986,31,"High-throughput phenotypic screens have re-emerged as screening tools in antibiotic discovery. The advent of such technologies has rapidly accelerated the identification of 'hit' compounds. A pre-requisite to medicinal chemistry optimisation programmes required to improve the drug-like properties of a 'hit' molecule is identification of its mode of action. Herein, we have combined phenotypic screening with a biased target-specific screen. The inosine monophosphate dehydrogenase (IMPDH) protein GuaB2 has been identified as a drugable target in Mycobacterium tuberculosis, however previously identified compounds lack the desired characteristics necessary for further development into lead-like molecules. This study has identified 7 new chemical series from a high-throughput resistance-based phenotypic screen using Mycobacterium bovis BCG over-expressing GuaB2. Hit compounds were identified in a single shot high-throughput screen, validated by dose response and subjected to further biochemical analysis. The compounds were also assessed using molecular docking experiments, providing a platform for their further optimisation using medicinal chemistry. This work demonstrates the versatility and potential of GuaB2 as an anti-tubercular drug target."
Discovery of novel oral protein synthesis inhibitors of mycobacterium tuberculosis that target leucyl-tRNA synthetase,Palencia A.,Antimicrobial Agents and Chemotherapy,2016-10-01,10.1128/AAC.01339-16,110,"The recent development and spread of extensively drug-resistant and totally drug-resistant resistant (TDR) strains of Mycobacterium tuberculosis highlight the need for new antitubercular drugs. Protein synthesis inhibitors have played an important role in the treatment of tuberculosis (TB) starting with the inclusion of streptomycin in the first combination therapies. Although parenteral aminoglycosides are a key component of therapy for multidrug-resistant TB, the oxazolidinone linezolid is the only orally available protein synthesis inhibitor that is effective against TB. Here, we show that small-molecule inhibitors of aminoacyl-tRNA synthetases (AARSs), which are known to be excellent antibacterial protein synthesis targets, are orally bioavailable and effective against M. tuberculosis in TB mouse infection models. We applied the oxaborole tRNA-trapping (OBORT) mechanism, which was first developed to target fungal cytoplasmic leucyl-tRNA synthetase (LeuRS), to M. tuberculosis LeuRS. X-ray crystallography was used to guide the design of LeuRS inhibitors that have good biochemical potency and excellent whole-cell activity against M. tuberculosis Importantly, their good oral bioavailability translates into in vivo efficacy in both the acute and chronic mouse models of TB with potency comparable to that of the frontline drug isoniazid."
Novel high throughput pooled shRNA screening identifies NQO1 as a potential drug target for host directed therapy for tuberculosis,Li Q.,Scientific Reports,2016-06-14,10.1038/srep27566,20,"UNLABELLED: Chemical regulation of macrophage function is one key strategy for developing host-directed adjuvant therapies for tuberculosis (TB). A critical step to develop these therapies is the identification and characterization of specific macrophage molecules and pathways with a high potential to serve as drug targets. Using a barcoded lentivirus-based pooled short-hairpin RNA (shRNA) library combined with next generation sequencing, we identified 205 silenced host genes highly enriched in mycobacteria-resistant macrophages. Twenty-one of these ""hits"" belonged to the oxidoreductase functional category. NAD(P)H: quinone oxidoreductase 1 (NQO1) was the top oxidoreductase ""hit"". NQO1 expression was increased after mycobacterial infection, and NQO1 knockdown increased macrophage differentiation, NF-κB activation, and the secretion of pro-inflammatory cytokines TNF-α and IL-1β in response to infection. This suggests that mycobacteria hijacks NQO1 to down-regulate pro-inflammatory and anti-bacterial functions. The competitive inhibitor of NQO1 dicoumarol synergized with rifampin to promote intracellular killing of mycobacteria. Thus, NQO1 is a new host target in mycobacterial infection that could potentially be exploited to increase antibiotic efficacy in vivo. Our findings also suggest that pooled shRNA libraries could be valuable tools for genome-wide screening in the search for novel druggable host targets for adjunctive TB therapies."
Comparative analyses of the proteins from Mycobacterium tuberculosis and human genomes: Identification of potential tuberculosis drug targets,Sridhar S.,Gene,2016-03-15,10.1016/j.gene.2015.12.054,16,Sin abstract en OpenAlex
Discovery of potent anti-tuberculosis agents targeting leucyl-tRNA synthetase,Gudzera O.,Bioorganic and Medicinal Chemistry,2016-03-01,10.1016/j.bmc.2016.01.028,39,Sin abstract en OpenAlex
UDP-GlcNAc pathway: Potential target for inhibitor discovery against M. tuberculosis,Rani C.,European Journal of Pharmaceutical Sciences,2016-02-15,10.1016/j.ejps.2015.12.013,23,Sin abstract en OpenAlex
Resistance related metabolic pathways for drug target identification in Mycobacterium tuberculosis,Cloete R.,BMC Bioinformatics,2016-02-08,10.1186/s12859-016-0898-8,23,"BACKGROUND: Increasing resistance to anti-tuberculosis drugs has driven the need for developing new drugs. Resources such as the tropical disease research (TDR) target database and AssessDrugTarget can help to prioritize putative drug targets. Hower, these resources do not necessarily map to metabolic pathways and the targets are not involved in dormancy. In this study, we specifically identify drug resistance pathways to allow known drug resistant mutations in one target to be offset by inhibiting another enzyme of the same metabolic pathway. One of the putative targets, Rv1712, was analysed by modelling its three dimensional structure and docking potential inhibitors. RESULTS: We mapped 18 TB drug resistance gene products to 15 metabolic pathways critical for mycobacterial growth and latent TB by screening publicly available microarray data. Nine putative targets, Rv1712, Rv2984, Rv2194, Rv1311, Rv1305, Rv2195, Rv1622c, Rv1456c and Rv2421c, were found to be essential, to lack a close human homolog, and to share >67 % sequence identity and >87 % query coverage with mycobacterial orthologs. A structural model was generated for Rv1712, subjected to molecular dynamic simulation, and identified 10 compounds with affinities better than that for the ligand cytidine-5'-monophosphate (C5P). Each compound formed more interactions with the protein than C5P. CONCLUSIONS: We focused on metabolic pathways associated with bacterial drug resistance and proteins unique to pathogenic bacteria to identify novel putative drug targets. The ten compounds identified in this study should be considered for experimental studies to validate their potential as inhibitors of Rv1712."
Whole Cell Target Engagement Identifies Novel Inhibitors of Mycobacterium tuberculosis Decaprenylphosphoryl-β- d -ribose Oxidase,Batt S.M.,ACS Infectious Diseases,2016-01-08,10.1021/acsinfecdis.5b00065,63,"We have targeted the Mycobacterium tuberculosis decaprenylphosphoryl-β-d-ribose oxidase (Mt-DprE1) for potential chemotherapeutic intervention of tuberculosis. A multicopy suppression strategy that overexpressed Mt-DprE1 in M. bovis BCG was used to profile the publically available GlaxoSmithKline antimycobacterial compound set, and one compound (GSK710) was identified that showed an 8-fold higher minimum inhibitory concentration relative to the control strain. Analogues of GSK710 show a clear relationship between whole cell potency and in vitro activity using an enzymatic assay employing recombinant Mt-DprE1, with binding affinity measured by fluorescence quenching of the flavin cofactor of the enzyme. M. bovis BCG spontaneous resistant mutants to GSK710 and a closely related analogue were isolated and sequencing of ten such mutants revealed a single point mutation at two sites, E221Q or G248S within DprE1, providing further evidence that DprE1 is the main target of these compounds. Finally, time-lapse microscopy experiments showed that exposure of M. tuberculosis to a compound of this series arrests bacterial growth rapidly followed by a slower cytolysis phase."
Discovery of novel lysine É-aminotransferase inhibitors: An intriguing potential target for latent tuberculosis,Devi P.B.,Tuberculosis,2015-12-01,10.1016/j.tube.2015.04.010,16,Sin abstract en OpenAlex
High-throughput screen identifies small molecule inhibitors targeting acetyltransferase activity of Mycobacterium tuberculosis GlmU,Rani C.,Tuberculosis,2015-12-01,10.1016/j.tube.2015.06.003,22,Sin abstract en OpenAlex
Identification and validation of aspartic acid semialdehyde dehydrogenase as a new anti-mycobacterium tuberculosis target,Meng J.,International Journal of Molecular Sciences,2015-09-30,10.3390/ijms161023572,8,"Aspartic acid semialdehyde dehydrogenase (ASADH) lies at the first branch point in the essential aspartic acid biosynthetic pathway that is found in bacteria and plants but is absent from animals. Mutations in the asadh gene encoding ASADH produce an inactive enzyme, which is lethal. Therefore, in this study, we investigated the hypothesis that ASADH represents a new anti-Mycobacterium tuberculosis (MTB) target. An asadh promoter-replacement mutant MTB, designated MTB::asadh, in which asadh gene expression is regulated by pristinamycin, was constructed to investigate the physiological functions of ASADH in the host bacteria. Bacterial growth was evaluated by monitoring OD600 and ASADH expression was analyzed by Western blotting. The results showed that the growth and survival of MTB::asadh was completely inhibited in the absence of the inducer pristinamycin. Furthermore, the growth of the mutant was rigorously dependent on the presence of the inducer in the medium. The starved mutant exhibited a marked reduction (approximately 80%) in the cell wall materials compared to the wild-type, in addition to obvious morphological differences that were apparent in scanning electron microscopy studies; however, with the addition of pristinamycin, the cell wall contents and morphology similar to those of the wild-type strain were recovered. The starved mutant also exhibited almost no pathogenicity in an in vitro model of infection using mouse macrophage J774A.1 cells. The mutant showed a concentration-dependent recovery of pathogenicity with the addition of the inducer. These findings implicate ASADH as a promising target for the development of novel anti-MTB drugs."
Genetic and chemical validation identifies Mycobacterium tuberculosis topoisomerase i as an attractive anti-tubercular target,Ravishankar S.,Tuberculosis,2015-09-01,10.1016/j.tube.2015.05.004,38,Sin abstract en OpenAlex
